ordinal,sku,asin,gate_status,readback_status,observed_at,secondary_total,fixed_card_occurrences,additional_total,additional_relevant,exact_recipe_images,shared_context_images,recipe_components_covered,recipe_components_required,blockers,primary_evidence_path,primary_evidence_sha256,row_evidence_sha256
132,VC-ASQE-L5Z5,B0H82QYM85,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,5,0,1,1,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,f5a20aeb54de74658542adb1179d166f683578e2c93130387c24481a04435ede
133,VC-ASV1-378P,B0H786L5MW,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,4,3,1,1,1,GALLERY_REPAIR_NOT_APPLIED;FIXED_CARD_NOT_EXACT_GALLERY_1;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;FIXED_CARD_OUTSIDE_GALLERY_1;PERCEPTUAL_DUPLICATE_REMOVED;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,f8fc490a2e2208f8420fd092522611a33ef6149531cb8d42b569304296d27a6c
134,VH-ASHZ-TJEE,B0H856VWD6,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_MIXED_BERRY_MORNING_PROTEIN;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,62c47d4ca3b57252a1db6b68a35ed787848a98a4b246a16a36b27938d5be7adc
135,VK-ASSB-3YFK,B0H85FY28F,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:WHOLE_WHEAT_PB_GRAPE;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,4f30548784f891474ce6247da19a36acede54337ed5e006a46a32aae7bd84e11
136,VN-AS1A-D572,B0H82PKK18,BLOCKED,POINT_IN_TIME_PASS_LATEST_READBACK_MISSING,2026-07-17T22:43:12.080Z,7,1,6,6,5,1,1,1,LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,86913e4c1682dcc5377d35338498f3a2ba025a51f85d423dee27437096de2979
137,VN-AS6Q-5AE9,B0H8538L32,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:CHOCOLATE_HAZELNUT;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,c579ecce0c790110fce5c9efb88a3f2055d06bfb2c0b61e65c5519cd098a09e5
138,VT-ASTH-B6LM,B0H85CL8JD,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_APPLE_CINNAMON_PROTEIN;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,a51819c144b2631b492fdd4d3d404302f632d43a4938cf980f3409a85ef33a80
139,WC-ASH5-EFN6,B0H833W54L,BLOCKED,POINT_IN_TIME_PASS_LATEST_READBACK_MISSING,2026-07-17T22:43:12.080Z,7,1,6,6,5,1,1,1,LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,0466cb8a0629f478fb456bc036325dc2c0f065e11aeb0ef775a0417dccaadfbf
140,WK-AS2R-FJUW,B0H82XBNVN,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,1,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,db26a117f5279edff65470fe040df74ee79f0728eeb611499a27f9513f2b06f2
141,WK-AS7E-M3CE,B0H843R64X,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,6,5,1,1,2,GALLERY_REPAIR_NOT_APPLIED;MISSING_RECIPE_COMPONENT:PB_MIXED_BERRY_MORNING_PROTEIN;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,1714164a57d6548bca9fbdb5294ed77d08343647f83dc52846af3362d12e77b6
142,WK-ASPD-G9HL,B0H85CF81Y,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_PLAIN;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,bb91144736d4a8eb8b552736ca4af78477b37a195454ee19fd6aad0ca4616c72
143,WN-AS33-UFEA,B0H83RCTVV,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,1,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,ded66557f88c71c3c5fcdb28dd478d5bcb2647cc5b5f0bc7958f0c0cf7ed7f58
144,WR-ASR5-AVWE,B0H859VYXH,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,6,5,1,1,2,GALLERY_REPAIR_NOT_APPLIED;MISSING_RECIPE_COMPONENT:CHOCOLATE_HAZELNUT;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,f161c85da8aae4fd619fcebeb147a244626f8b76531b12be172c913c6897aaef
145,WR-ASTH-TPXV,B0H85DRT93,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,6,5,1,1,2,GALLERY_REPAIR_NOT_APPLIED;MISSING_RECIPE_COMPONENT:PB_MIXED_BERRY_MORNING_PROTEIN;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,558f0039b83b6efbd3a99de5da6dacdb718fd6359e1c9126ab36c440cdef9987
146,WZ-ASXK-ZFAS,B0H85DF1R7,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_BLUEBERRY_PROTEIN;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,5f4de982928c9aebf42ad90862fba44bd30d990201f2932ee5ae68d2311b1348
147,XE-ASK1-BNRB,B0H81WMJBP,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,1,GALLERY_REPAIR_NOT_APPLIED;UNAPPROVED_SHARED_CONTEXT_ASSET;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,70e4e7eab5571c916a99065da657ce9ba4456e53f05d68c951fccdbe1d42faf2
148,XJ-ASVD-CDMW,B0H82MSTD9,BLOCKED,POINT_IN_TIME_PASS_LATEST_READBACK_MISSING,2026-07-17T22:43:12.080Z,7,1,6,6,5,1,1,1,LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,e7de64e5d8a6fa62b9683438bbef85590880fe6d30bebaa1f12b8e3295768c85
149,XV-ASEU-GDUX,B0H82YRTS3,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,5,1,4,3,3,0,1,1,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,248f2e8550a8c74584978017d319d697364021782466620e55febfc10c43764c
150,XW-ASSI-SZZT,B0H858GF4N,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_PLAIN;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,d442a3dcf5d971be15ea721e556a6e5fd27a080e28c2a493e99557f6e34db9c2
151,YA-ASX6-PZE7,B0H82YB4PD,BLOCKED,POINT_IN_TIME_PASS_LATEST_READBACK_MISSING,2026-07-17T22:43:12.080Z,7,1,6,6,6,0,1,1,LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,22debfe4ec257779a7466a8a0baec207541c8ffc031623f88b99019193b2f906
152,YF-ASZJ-8BBH,B0H822MPKC,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,1,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,f0e4e32a5c10f2dbe0c9348a21f9b023651a7e3a82b39d71ffd0e478bf0d69e5
153,YG-ASH6-BCXX,B0H8511Y5G,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_BLACKBERRY;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,ba4b6fdde28b9932a89dc8991d262375b5950862fb691de036f20b80ace0af24
154,YH-ASQ8-45ED,B0H82QPCJL,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,1,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,b9a3b879c1f4a7efaf81b68e8ff9a111e54bb4072a79107f1022edb5b69a4460
155,YM-AS7P-ZX44,B0H83S1LDG,BLOCKED,POINT_IN_TIME_PASS_LATEST_READBACK_MISSING,2026-07-17T22:43:12.080Z,7,1,6,6,6,0,1,1,LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,09be0c35bf5451d90fc3dcc3643a004595dae77b04ba1cd6e3525f3aef4b0c0d
156,YV-AST8-LMKN,B0H859JMGJ,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_CHOCOLATE_FLAVORED_SPREAD;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,195cc0faa0c2108adc224f5a84aecb080cf03fb7e8de6e308ba6fa827f4e86a8
157,ZB-ASKL-9W8G,B0H82LKBYH,BLOCKED,POINT_IN_TIME_PASS_LATEST_READBACK_MISSING,2026-07-17T22:43:12.080Z,7,1,6,6,6,0,1,1,LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,ee55c10b8bafb620df43de29e2b6d93855189d412779fb3f2acd7457d9977a28
158,ZC-ASDC-3QMV,B0H83TSB5J,BLOCKED,POINT_IN_TIME_PASS_LATEST_READBACK_MISSING,2026-07-17T22:43:12.080Z,7,1,6,6,5,1,1,1,LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,577f52ffe1f261db137b06a2048ad4b79b3f7336105686494666f294f6b97fc8
159,ZE-AS5W-FKH3,B0H8531B8B,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_MIXED_BERRY_MORNING_PROTEIN;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,2727db79b95820eafcf1c45853d208f3dfd362efd83dd7f00f6ad4d1edca657b
160,ZH-AS8W-G5MN,B0H82LMD9Z,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,5,0,1,1,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,f756d625f03e1680ff76639f13baf5a7f860ed9202543babae1804f85c1a8d37
161,ZP-ASJD-X7ZD,B0H85N7X8W,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_MIXED_BERRY_MORNING_PROTEIN;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,9230375f9fca608f6e3ba38180d1271b18c9ef5441a3e5093cbdcaff850c4085
162,ZX-AS2C-GT8Q,B0H82L3LRT,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,1,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,200c66a57dc417ba8968f1b4cd675d7cf1cc6e2cde8f573eeb445d6ca9f93025
163,ZX-ASQU-TKU9,B0H84PVG1G,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_STRAWBERRY;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;PERCEPTUAL_DUPLICATE_REMOVED;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,308da3bdbcfe1060e09ae2870fd5b42da7286643fb000346b589e34d677f0e50
164,ZY-ASZ4-QM5U,B0H83T9QZV,BLOCKED,POINT_IN_TIME_PASS_LATEST_READBACK_MISSING,2026-07-17T22:43:12.080Z,7,1,6,6,5,1,1,1,LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,d29313913925305182120fccd8a8c091d0ac4f7968e9db75dfee041ed5352bb5
