ordinal,sku,asin,gate,target_regular,target_min,target_max,amazon_consumer_offer,amazon_offer_state,amazon_regular_attribute,amazon_business_attribute,amazon_min_attribute,amazon_max_attribute,promo_state,promo_assignment,live_sale_value,live_sale_start,live_sale_end,v4_target_effective,channelmax_status,channelmax_model,channelmax_price,channelmax_min,channelmax_max,failure_codes,blocker_codes
1,AC-AS4J-B64F,B0H82ZZS2P,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,76.99,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_SALEPRICE_MISSING,SALEPRICE_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,64.64,78.48,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_SCHEDULE_MISSING
2,AD-AS4H-QXZD,B0H82J6V9T,BLOCKED,76.99,66.95,76.99,66.98,OFFER,76.99,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,64.64,78.48,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
3,AG-ASKV-W9EN,B0H85B64V2,BLOCKED,76.99,66.95,76.99,66.98,OFFER,76.99,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,64.38,78.18,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
4,AJ-ASRB-HKC3,B0H84G7DHC,FAIL,76.99,66.95,76.99,,NO_OFFER,71.14,,67.81,78.53,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,71.14,86.38,AMAZON_REGULAR_ATTRIBUTE_MISMATCH|AMAZON_MIN_GUARD_MISMATCH|AMAZON_MAX_GUARD_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
5,AN-ASUW-49Y5,B0H8628LW3,BLOCKED,76.99,66.95,76.99,66.98,OFFER,76.99,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,64.38,78.18,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
6,AU-AS97-USX8,B0H843Q9B5,FAIL,76.99,66.95,76.99,76.99,OFFER,76.99,,62.05,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,65.13,79.09,AMAZON_MIN_GUARD_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
7,AV-AS7X-8EXK,B0H82JTY19,BLOCKED,130.99,114.27,130.99,130.99,OFFER,130.99,,114.27,130.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_12,,,,115.27,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,130.99,113.66,138.02,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
8,AY-AS5F-JEY9,B0H83MWTM7,FAIL,297.99,258.57,297.99,259.25,OFFER,281.91,,258.57,297.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,259.25,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,259.25,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,259.25,281.91,342.31,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
9,AZ-ASMY-VEQ2,B0H788M8WM,FAIL,85.99,74.75,85.99,,NO_OFFER,112.27,,74.75,85.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,74.81,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,88.94,112.27,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
10,BD-AS8P-XAW5,B0H85MXFH8,FAIL,76.99,66.95,76.99,66.98,OFFER,70.88,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,70.88,86.08,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
11,BD-ASGH-LREJ,B0H86Z59DW,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,64.38,78.18,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
12,BH-AS7H-D4FV,B0H853MCYZ,BLOCKED,76.99,66.95,76.99,66.98,OFFER,76.99,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,64.38,78.18,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
13,BH-ASTN-S4XJ,B0H83ZRNCS,FAIL,76.99,66.95,76.99,72.14,OFFER,72.14,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,72.14,70.88,86.08,AMAZON_REGULAR_ATTRIBUTE_MISMATCH|AMAZON_EFFECTIVE_CONSUMER_MISMATCH_CURRENT_SEMANTICS,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
14,BH-ASVY-CR8H,B0H83S368B,BLOCKED,297.99,258.57,297.99,297.99,OFFER,297.99,,258.57,297.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,259.25,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,297.99,284.4,345.34,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
15,BK-AS5Z-8UY5,B0H85JF1V1,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,64.14,77.88,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
16,BM-AS5J-3MQY,B0H83LSCQQ,FAIL,252.99,219.57,252.99,,NO_OFFER,271.91,,219.57,252.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,220.1,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,271.91,330.16,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
17,BQ-ASUE-NT37,B0H842HL49,FAIL,76.99,66.95,76.99,66.98,OFFER,70.88,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,70.88,86.08,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
18,BX-AS5P-6WQV,B0H83NM5PX,FAIL,297.99,258.57,297.99,,NO_OFFER,366.91,,258.57,297.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,259.25,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,366.91,445.53,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
19,BY-ASY2-8UJJ,B0H83789KC,BLOCKED,85.99,74.75,85.99,85.99,OFFER,85.99,,74.75,85.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,74.81,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,85.99,76.26,92.6,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
20,CE-ASGK-ZRHM,B0H84651LM,FAIL,76.99,66.95,76.99,,NO_OFFER,79.39,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,79.39,96.39,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
21,CK-ASUM-WT9W,B0H86PRTWS,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,72.88,88.51,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
22,CN-ASG6-892G,B0H8422DQ1,FAIL,297.99,258.57,297.99,259.25,OFFER,284.4,,258.57,297.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,259.25,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,259.25,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,259.25,284.4,345.34,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
23,DA-ASF0-D7RG,B0H83VBTLT,FAIL,252.99,219.57,252.99,220.1,OFFER,221.27,,219.57,252.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,220.1,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,220.1,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,220.1,221.27,268.69,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
24,DF-ASQT-BLUQ,B0H83FKSN6,FAIL,130.99,114.27,130.99,114.27,OFFER,114.59,,114.27,130.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_12,114.27,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,115.27,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,114.27,114.59,139.15,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_VALUE_DIFFERS_FROM_V4_PROPOSAL|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
25,DP-ASQ6-ZPZU,B0H83Y8JH7,FAIL,76.99,66.95,76.99,76.99,OFFER,76.99,,68.29,79.08,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,71.64,86.99,AMAZON_MIN_GUARD_MISMATCH|AMAZON_MAX_GUARD_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
26,DY-AS8W-6MJG,B0H82MKPRJ,FAIL,130.99,114.27,130.99,,NO_OFFER,145.54,,114.27,130.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_12,,,,115.27,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,145.54,176.73,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
27,EF-AS4A-JCLU,B0H83XB855,FAIL,76.99,66.95,76.99,,NO_OFFER,71.14,,67.81,78.53,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,71.14,86.38,AMAZON_REGULAR_ATTRIBUTE_MISMATCH|AMAZON_MIN_GUARD_MISMATCH|AMAZON_MAX_GUARD_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
28,EJ-ASCD-8K87,B0H82PXWKS,FAIL,252.99,219.57,252.99,220.1,OFFER,223.14,,219.57,252.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,220.1,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,220.1,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,220.1,223.14,270.96,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
29,ER-ASRK-TPYQ,B0H84JH1WN,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,72.88,88.51,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
30,ES-AS8A-3W3M,B0H83D8TFQ,BLOCKED,85.99,74.75,85.99,85.99,OFFER,85.99,,74.75,85.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,74.81,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,85.99,76.88,93.36,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
31,EW-ASJ9-E79N,B0H82MT74H,FAIL,85.99,74.75,85.99,74.81,OFFER,76.88,,74.75,85.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,74.81,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,74.81,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,74.81,76.88,93.36,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
32,EW-ASWP-PMZX,B0H891WSZ9,FAIL,85.99,74.75,85.99,74.81,OFFER,76.26,,74.75,85.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,74.81,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,74.81,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,74.81,76.26,92.6,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
33,EX-ASC0-5CRL,B0H83JJW1F,FAIL,297.99,258.57,297.99,,NO_OFFER,349.41,,258.57,297.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,259.25,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,259.25,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,349.41,424.28,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
34,EZ-ASLA-Y7MZ,B0H83GBJLW,BLOCKED,252.99,219.57,252.99,252.99,OFFER,252.99,,219.57,252.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,220.1,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,252.99,221.27,268.69,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
35,FK-AS6B-6G25,B0H8259J9G,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,64.14,77.88,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
36,FM-AS51-S4MT,B0H853VHRF,BLOCKED,76.99,66.95,76.99,66.98,OFFER,76.99,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,64.38,78.18,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
37,FN-ASVM-UWAG,B0H85J88LJ,BLOCKED,76.99,66.95,76.99,66.98,OFFER,76.99,,66.95,76.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,66.98,64.89,78.79,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
38,FR-AS6X-5KJY,B0H827V9DJ,BLOCKED,76.99,66.95,76.99,76.99,OFFER,76.99,,66.95,76.99,V4_PROPOSED_NOT_APPROVED_LIVE_COUPON_UNKNOWN,COUPON_13,,,,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,76.99,64.64,78.48,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
39,FV-AS47-EJZW,B0H82SZSYJ,BLOCKED,130.99,114.27,130.99,114.27,OFFER,130.99,,114.27,130.99,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_12,114.27,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,115.27,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,114.27,113.66,138.02,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_VALUE_DIFFERS_FROM_V4_PROPOSAL|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
40,FX-AS2W-KHZT,B0H827J2XZ,FAIL,76.99,66.95,76.99,,NO_OFFER,76.99,,74.05,85.7,LIVE_LEGACY_SALEPRICE_V4_PROPOSED_NOT_APPROVED,SALEPRICE_13,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,66.98,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,Default,0,77.64,94.27,AMAZON_MIN_GUARD_MISMATCH|AMAZON_MAX_GUARD_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
