ordinal,sku,asin,decision,severity,effective_total_units,previous_effective_decision,newly_discovered_false_keep,reason_codes,reuse_donor_status,asset_sha256,asset_local_path,title,observation
1,AC-AS4J-B64F,B0H82ZZS2P,REPAIR,BLOCKING_DEFECT,24,KEEP,true,RETAILER_BADGE_VISIBLE|MIXED_CARTON_PACK_COUNTS_SINGLE_FLAVOR,,6b7f1b519a2be868871a3fe767d5d284d567a4a00466a4cb0d5576bbb691bedb,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/001-AC-AS4J-B64F-B0H82ZZS2P-6b7f1b519a2b.jpg,"Uncrustables Peanut Butter & Chocolate Flavored Spread Sandwiches, 2 oz Each, Frozen, 24 Count",Single flavor is represented as 10 + 10 + 4 retail cartons. The 10-count art also carries a visible Walmart badge.
2,AD-AS4H-QXZD,B0H82J6V9T,REPAIR,BLOCKING_DEFECT,24,KEEP,true,MIXED_CARTON_PACK_COUNTS_SINGLE_FLAVOR,,cf0d3b06d0c438d19d2844bc23c51d6363fb7df73ac3d842d772945e51774c7f,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/002-AD-AS4H-QXZD-B0H82J6V9T-cf0d3b06d0c4.jpg,"Uncrustables Peanut Butter & Honey Spread Frozen Sandwiches, 2 oz Each, 24 Count","Single flavor is represented by mixed 10-count and 4-count carton designs (10 + 10 + 4), violating the one-design rule."
3,AG-ASKV-W9EN,B0H85B64V2,REPAIR,BLOCKING_DEFECT,24,KEEP,true,CARTON_COUNT_MATH_MISMATCH|WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT|FICTIONAL_OR_ALTERED_PACKAGE_ART,,7e274540b591bd781c7d019d8f09138f0c0f68a6819377dcce05edafe017492b,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/003-AG-ASKV-W9EN-B0H85B64V2-7e274540b591.jpg,"Uncrustables Frozen Peanut Butter Sandwiches Variety Pack, 24 Count - Honey Spread & Strawberry Jam","Visible retail-carton count/pack-size arithmetic does not exactly reconcile to every recipe quantity. At least one visible product/flavor is not the exact recipe product. At least one required recipe component is not visibly represented. Visible package art is fabricated, corrupted, or materially altered from reviewed genuine art."
4,AJ-ASRB-HKC3,B0H84G7DHC,REPAIR,BLOCKING_DEFECT,24,REGENERATE,false,MISSING_RECIPE_COMPONENT,,97369434e19236edbe55e1b5c987c48b0771f5aac07b2bdb85efdcac94dd17d9,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/004-AJ-ASRB-HKC3-B0H84G7DHC-97369434e192.jpg,"Uncrustables Peanut Butter Sandwiches Variety Pack, Raspberry Spread and Morning Protein Mixed Berry Spread, 2 oz Each, 24 Count, Frozen",At least one required recipe component is not visibly represented.
5,AN-ASUW-49Y5,B0H8628LW3,REPAIR,BLOCKING_DEFECT,24,REGENERATE,false,NO_APPROVED_COOLER_SCENE,,2710053915e6b3cb248bea6d987b9ca15d996817b95d3fc1fe276a8568f59630,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/005-AN-ASUW-49Y5-B0H8628LW3-2710053915e6.jpg,"Uncrustables Frozen Sandwiches, Chocolate Hazelnut Spread & Peanut Butter Strawberry Jam Variety Pack, 24 Count",The approved Salutem cooler/gel-pack frozen-shipping scene is absent.
6,AU-AS97-USX8,B0H843Q9B5,REPAIR,BLOCKING_DEFECT,24,KEEP,true,CARTON_COUNT_MATH_MISMATCH,,9e71cf5d6f5b7b446eecd30bc1844a9ce04d99ad026e08135a429f6be665d4c5,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/006-AU-AS97-USX8-B0H843Q9B5-9e71cf5d6f5b.jpg,"Uncrustables Peanut Butter & Raspberry Spread and Peanut Butter Frozen Sandwiches, 2 oz Each, Variety Pack, 24 Count","Visible 4-count cartons imply 16 units of each component, not the required 12 + 12."
7,AV-AS7X-8EXK,B0H82JTY19,KEEP,VISUAL_PASS,45,KEEP,false,,,b396b5cf187557a3f773d206abcc3cbed72e7c671ee08678f121bd3a7113616c,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/007-AV-AS7X-8EXK-B0H82JTY19-b396b5cf1875.jpg,"Uncrustables Whole Wheat Peanut Butter & Strawberry Jam Sandwich, Reduced Sugar, Frozen, 2 oz Each, 45 Count","Original-resolution visual review found the exact recipe presentation, a visually reconciled carton/wrapper count plan, the approved cooler/Salutem scene, exactly 2 inside + 2 outside gel packs, and no concrete forbidden mark or package-art defect."
8,AY-AS5F-JEY9,B0H83MWTM7,KEEP,VISUAL_PASS,120,KEEP,false,,,044e5ca43a82de25389e70d0438793dc81685e152af9d59e11a290d7b0f0bceb,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/008-AY-AS5F-JEY9-B0H83MWTM7-044e5ca43a82.jpg,"Uncrustables Whole Wheat Peanut Butter & Strawberry Jam Sandwiches, 2 oz, Reduced Sugar, Individually Wrapped, 120 Count","Original-resolution visual review found the exact recipe presentation, a visually reconciled carton/wrapper count plan, the approved cooler/Salutem scene, exactly 2 inside + 2 outside gel packs, and no concrete forbidden mark or package-art defect."
9,AZ-ASMY-VEQ2,B0H788M8WM,REPAIR,BLOCKING_DEFECT,30,KEEP,true,CARTON_COUNT_MATH_MISMATCH|FICTIONAL_OR_ALTERED_PACKAGE_ART,,9b8f93057114a28e79e7f7115f39defa1f9a4a67fc4c604cfdefe983ad73c39b,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/009-AZ-ASMY-VEQ2-B0H788M8WM-9b8f93057114.jpg,"Uncrustables Peanut Butter & Strawberry Jam Sandwiches, 30 Count, 2 oz Each, Frozen Multipack","Visible retail-carton count/pack-size arithmetic does not exactly reconcile to every recipe quantity. Visible package art is fabricated, corrupted, or materially altered from reviewed genuine art."
10,BD-AS8P-XAW5,B0H85MXFH8,REPAIR,BLOCKING_DEFECT,24,REGENERATE,false,NO_APPROVED_COOLER_SCENE,,0124cb930fb56fce7760407b429d6831bce14bb61704227592e273bb277eae74,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/010-BD-AS8P-XAW5-B0H85MXFH8-0124cb930fb5.jpg,"Uncrustables Frozen Peanut Butter Sandwich Variety Pack, Apple Cinnamon Jelly Protein & Grape Jelly, 24 Count",The approved Salutem cooler/gel-pack frozen-shipping scene is absent.
11,BD-ASGH-LREJ,B0H86Z59DW,REPAIR,BLOCKING_DEFECT,24,KEEP,true,CARTON_COUNT_MATH_MISMATCH,,f945e50022696343cd3b1486f90de1adfa8290e703664bf684b0a23f867f3442,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/011-BD-ASGH-LREJ-B0H86Z59DW-f945e5002269.jpg,"Uncrustables Frozen Sandwiches Variety Pack, 24 Count – Peanut Butter & Honey Spread and Whole Wheat Peanut Butter & Strawberry Jam",Visible retail-carton count/pack-size arithmetic does not exactly reconcile to every recipe quantity.
12,BH-AS7H-D4FV,B0H853MCYZ,KEEP,VISUAL_PASS,24,KEEP,false,,,8963818335ec717ed451d04303545d823cc58d040fb8621e52c1a9840cb03005,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/012-BH-AS7H-D4FV-B0H853MCYZ-8963818335ec.jpg,"Uncrustables Frozen Peanut Butter & Honey and Peanut Butter & Blackberry Spread Sandwiches, Variety Pack, 24 Count","Original-resolution visual review found the exact recipe presentation, a visually reconciled carton/wrapper count plan, the approved cooler/Salutem scene, exactly 2 inside + 2 outside gel packs, and no concrete forbidden mark or package-art defect."
13,BH-ASTN-S4XJ,B0H83ZRNCS,REPAIR,BLOCKING_DEFECT,24,REGENERATE,false,WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT|WRONG_NUTRITION_OR_VARIANT_TEXT,,e7aa2aee84abbe0f7efcccdb10c264515d832eb6042caf2fed88481547a5ef72,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/013-BH-ASTN-S4XJ-B0H83ZRNCS-e7aa2aee84ab.jpg,"Uncrustables Frozen Peanut Butter & Strawberry Jam Protein and Peanut Butter & Blackberry Spread Sandwiches, Variety Pack, 24 Count",At least one visible product/flavor is not the exact recipe product. At least one required recipe component is not visibly represented. Visible package text/nutrition identifies the wrong product variant.
14,BH-ASVY-CR8H,B0H83S368B,REPAIR,BLOCKING_DEFECT,120,KEEP,true,CARTON_COUNT_MATH_MISMATCH,,508feec6218e07feb577ab447324be84f2f7cb125be3a0a5db2652d605bcfc09,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/014-BH-ASVY-CR8H-B0H83S368B-508feec6218e.jpg,"Uncrustables Peanut Butter & Raspberry Spread Sandwiches, 2 oz Each, Frozen, 120 Count","Ten visible 10-count raspberry cartons communicate 100 units, not the required 120."
15,BK-AS5Z-8UY5,B0H85JF1V1,KEEP,VISUAL_PASS,24,KEEP,false,,,d61f1d41c5d5f719df8a4e82f44d5dababd670b27e484ca05c306dcbfb4deed1,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/015-BK-AS5Z-8UY5-B0H85JF1V1-d61f1d41c5d5.jpg,"Uncrustables Frozen Sandwich Variety Pack, Whole Wheat Peanut Butter & Strawberry Jam and Peanut Butter & Blackberry Spread, 24 Count","Original-resolution visual review found the exact recipe presentation, a visually reconciled carton/wrapper count plan, the approved cooler/Salutem scene, exactly 2 inside + 2 outside gel packs, and no concrete forbidden mark or package-art defect."
16,BM-AS5J-3MQY,B0H83LSCQQ,REPAIR,BLOCKING_DEFECT,90,KEEP,true,INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,,5f985044fe6b0f37645fc6f8466da8785a70148e0c8e307784b84c0cba5732d2,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/016-BM-AS5J-3MQY-B0H83LSCQQ-5f985044fe6b.jpg,"Uncrustables Morning Protein Peanut Butter & Mixed Berry Spread Sandwich, 2.8 oz Each, 90 Count",Every purported Beamin' Berry wrapper visibly retains an 8-count retail-carton badge.
17,BQ-ASUE-NT37,B0H842HL49,REPAIR,BLOCKING_DEFECT,24,REGENERATE,false,GENERIC_OR_UNBRANDED_PACKAGE,,c32e209b1f761bde77a26edf75d078370372769cc187f908560555380889610a,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/017-BQ-ASUE-NT37-B0H842HL49-c32e209b1f76.jpg,"Uncrustables Frozen Sandwich Variety Pack, Peanut Butter & Strawberry Jam (12g Protein) and Whole Wheat Peanut Butter & Grape Jelly, 24 Count",Visible package is generic or lacks authentic readable Smucker's/Uncrustables identity.
18,BX-AS5P-6WQV,B0H83NM5PX,KEEP,VISUAL_PASS,120,KEEP,false,,,e1d784167ae4c611c925233f4f00e23f3c1ce0d8e70623432e04b24887884c3a,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/018-BX-AS5P-6WQV-B0H83NM5PX-e1d784167ae4.jpg,"Smucker's Uncrustables Frozen Peanut Butter & Blueberry Sandwich, 2.8 oz Each, 120 Count","Original-resolution visual review found the exact recipe presentation, a visually reconciled carton/wrapper count plan, the approved cooler/Salutem scene, exactly 2 inside + 2 outside gel packs, and no concrete forbidden mark or package-art defect."
19,BY-ASY2-8UJJ,B0H83789KC,REPAIR,BLOCKING_DEFECT,30,KEEP,true,INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,,765eb5479ae7c9002ec92f4a5395c7f102243289a76ba306bc3a69a2e04f474d,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/019-BY-ASY2-8UJJ-B0H83789KC-765eb5479ae7.jpg,"Uncrustables Whole Wheat Peanut Butter & Strawberry Jam Frozen Sandwiches, 2 oz Each, 30 Count",Every purported individual whole-wheat strawberry wrapper visibly retains a 4-count retail-carton badge.
20,CE-ASGK-ZRHM,B0H84651LM,REPAIR,BLOCKING_DEFECT,24,REGENERATE,false,GENERIC_OR_UNBRANDED_PACKAGE,,21e1dcf6533d4b6ca5fe54583b663a23defe7d285f181b85e8e5650d73a4191c,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/020-CE-ASGK-ZRHM-B0H84651LM-21e1dcf6533d.jpg,"Uncrustables Frozen Peanut Butter & Strawberry Jam Protein and Peanut Butter & Blueberry Sandwich Variety Pack, 24 Count",Visible package is generic or lacks authentic readable Smucker's/Uncrustables identity.
21,CK-ASUM-WT9W,B0H86PRTWS,REPAIR,BLOCKING_DEFECT,24,KEEP,true,WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT|FICTIONAL_OR_ALTERED_PACKAGE_ART|WRONG_NUTRITION_OR_VARIANT_TEXT,,24b03ca34785d46db380b5f8d289751eb84b86791e065f8a5de160c99aa9f1d8,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/021-CK-ASUM-WT9W-B0H86PRTWS-24b03ca34785.jpg,"Uncrustables Frozen Sandwiches, Chocolate Flavored Hazelnut Spread & Peanut Butter Blueberry Variety Pack, 24 Count","At least one visible product/flavor is not the exact recipe product. At least one required recipe component is not visibly represented. Visible package art is fabricated, corrupted, or materially altered from reviewed genuine art. Visible package text/nutrition identifies the wrong product variant."
22,CN-ASG6-892G,B0H8422DQ1,REPAIR,BLOCKING_DEFECT,120,KEEP,true,RETAILER_BADGE_VISIBLE,,c2ac920c6fbcb6d4636dca6c936d9d203749b1360d8c6934de57d0b0d84c3696,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/022-CN-ASG6-892G-B0H8422DQ1-c2ac920c6fbc.jpg,"Uncrustables Peanut Butter & Chocolate Flavored Spread Sandwiches, 2 oz Each, Frozen, 120 Count","Twelve 10-count cartons reconcile to 120, but every carton visibly carries the retailer-exclusive Walmart mark."
23,DA-ASF0-D7RG,B0H83VBTLT,REPAIR,BLOCKING_DEFECT,90,KEEP,true,CARTON_COUNT_MATH_MISMATCH,,bea6b4a1c0d6cbd3742f7965244155f927f860337332dd12b274ed85189c4fd5,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/023-DA-ASF0-D7RG-B0H83VBTLT-bea6b4a1c0d6.jpg,"Smucker's Uncrustables Frozen Peanut Butter & Grape Jelly Sandwich, 2 oz Each, 90 Count",The image uses 4-count retail cartons for a 90-unit recipe; 90 / 4 is not exact.
24,DF-ASQT-BLUQ,B0H83FKSN6,REPAIR,BLOCKING_DEFECT,45,KEEP,true,INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,,f72c8e7e4a642f43539d8175a0cb4f7dcb9cda53f3190255bf30378048ff5b22,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/024-DF-ASQT-BLUQ-B0H83FKSN6-f72c8e7e4a64.jpg,"Uncrustables Peanut Butter & Chocolate Flavored Spread Sandwiches, 2 oz Each, Frozen, 45 Count",A purported individual wrapper visibly retains a retail carton pack-count badge. Retail carton front art was shrunk onto a crimped pouch and presented as an individual wrapper.
25,DP-ASQ6-ZPZU,B0H83Y8JH7,REPAIR,BLOCKING_DEFECT,24,KEEP,true,CARTON_COUNT_MATH_MISMATCH,,31b34e45454fc81e8c93c4af80d64192e14d7bb600321c193a17d9711e435e18,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/025-DP-ASQ6-ZPZU-B0H83Y8JH7-31b34e45454f.jpg,"Uncrustables Frozen Peanut Butter & Strawberry Jam Protein Sandwich and Peanut Butter Sandwich, 24 Count Variety Pack",Visible retail-carton count/pack-size arithmetic does not exactly reconcile to every recipe quantity.
26,DY-AS8W-6MJG,B0H82MKPRJ,REPAIR,BLOCKING_DEFECT,45,KEEP,true,INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,,a745d4c7ecfe6322716a8634f538c01c1a021f30eae47569d0f05456a3253da7,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/026-DY-AS8W-6MJG-B0H82MKPRJ-a745d4c7ecfe.jpg,"Smucker's Uncrustables Frozen Peanut Butter & Blueberry Sandwich, 2.8 oz Each, 45 Count",Every purported blueberry wrapper visibly retains an 8-count retail-carton badge.
27,EF-AS4A-JCLU,B0H83XB855,REPAIR,BLOCKING_DEFECT,24,KEEP,true,CARTON_COUNT_MATH_MISMATCH|FICTIONAL_OR_ALTERED_PACKAGE_ART|WRONG_NUTRITION_OR_VARIANT_TEXT,,6be4b3427805bf85e4c53fdcd927b34e52ef6734c66c5000a1c5b6c3db7e19b2,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/027-EF-AS4A-JCLU-B0H83XB855-6be4b3427805.jpg,"Uncrustables Frozen Sandwich Variety Pack, Peanut Butter & Strawberry Jam Protein and Chocolate Hazelnut, 24 Count","Visible retail-carton count/pack-size arithmetic does not exactly reconcile to every recipe quantity. Visible package art is fabricated, corrupted, or materially altered from reviewed genuine art. Visible package text/nutrition identifies the wrong product variant."
28,EJ-ASCD-8K87,B0H82PXWKS,KEEP,VISUAL_PASS,90,KEEP,false,,,7cf148b1c1befe3b49ee1bd56ef9bfb3d59a1c4d3d573e44ae0929970e52013e,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/028-EJ-ASCD-8K87-B0H82PXWKS-7cf148b1c1be.jpg,"Uncrustables Peanut Butter & Raspberry Spread Sandwiches, 2 oz Each, Frozen, 90 Count","Original-resolution visual review found the exact recipe presentation, a visually reconciled carton/wrapper count plan, the approved cooler/Salutem scene, exactly 2 inside + 2 outside gel packs, and no concrete forbidden mark or package-art defect."
29,ER-ASRK-TPYQ,B0H84JH1WN,REPAIR,BLOCKING_DEFECT,24,REGENERATE,false,WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT,,2f56be3d1c10f53cc42daff033122f78bb94a762a93b69e6a7702c788917e749,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/029-ER-ASRK-TPYQ-B0H84JH1WN-2f56be3d1c10.jpg,"Uncrustables Peanut Butter & Raspberry Spread and Peanut Butter & Blueberry Sandwiches, 2 oz Each, Variety Pack, 24 Count, Frozen",At least one visible product/flavor is not the exact recipe product. At least one required recipe component is not visibly represented.
30,ES-AS8A-3W3M,B0H83D8TFQ,REPAIR,BLOCKING_DEFECT,30,KEEP,true,RETAILER_BADGE_VISIBLE,,f51a9ba054bb9b34bff577c01e1030c1e45fa932be714b9ad82ca77b2e47d5f8,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/030-ES-AS8A-3W3M-B0H83D8TFQ-f51a9ba054bb.jpg,"Uncrustables Peanut Butter & Chocolate Flavored Spread Sandwiches, 2 oz Each, 30 Count, Frozen","Three 10-count cartons reconcile to 30, but the cartons visibly say Only at Walmart."
31,EW-ASJ9-E79N,B0H82MT74H,REPAIR,BLOCKING_DEFECT,30,KEEP,true,RETAILER_BADGE_VISIBLE,,ca85c103d9791e5790d0854f78d835a849bf41903052ec259ffdb46b997b92ab,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/031-EW-ASJ9-E79N-B0H82MT74H-ca85c103d979.jpg,"Uncrustables Peanut Butter & Chocolate Flavored Spread Sandwiches, 2 oz Each, Frozen, 30 Count","Three 10-count cartons reconcile to 30, but the cartons visibly say Only at Walmart."
32,EW-ASWP-PMZX,B0H891WSZ9,KEEP,VISUAL_PASS,30,KEEP,false,,,e5b7c0f09ad41fbf69c44ba2e15a0e029da8a750080d1bddcc9278b644cffc4f,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/032-EW-ASWP-PMZX-B0H891WSZ9-e5b7c0f09ad4.jpg,"Smucker's Uncrustables Frozen Peanut Butter & Strawberry Jam Sandwiches, 2 oz Each, 30 Count","Original-resolution visual review found the exact recipe presentation, a visually reconciled carton/wrapper count plan, the approved cooler/Salutem scene, exactly 2 inside + 2 outside gel packs, and no concrete forbidden mark or package-art defect."
33,EX-ASC0-5CRL,B0H83JJW1F,REPAIR,BLOCKING_DEFECT,120,KEEP,true,RETAILER_BADGE_VISIBLE,,18c8f3e1e2c184e29ad2a930308e82c492b27b8690fbdd9025a684f99c3803c4,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/033-EX-ASC0-5CRL-B0H83JJW1F-18c8f3e1e2c1.jpg,"Uncrustables Morning Protein Peanut Butter & Mixed Berry Spread Sandwich, 2.8 oz, Wheat Bread, Frozen, 120 Count",Beamin' Berry cartons visibly retain Only at Target badges.
34,EZ-ASLA-Y7MZ,B0H83GBJLW,REPAIR,BLOCKING_DEFECT,90,KEEP,true,INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,,23a56c090dc8377327232e8017e67699b8d699fa46654c622b68df9ac3c42347,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/034-EZ-ASLA-Y7MZ-B0H83GBJLW-23a56c090dc8.jpg,"Uncrustables Whole Wheat Peanut Butter & Strawberry Jam Frozen Sandwich, 2 oz, Reduced Sugar, 90 Count",Every purported strawberry wrapper visibly retains a 4-count retail-carton badge.
35,FK-AS6B-6G25,B0H8259J9G,KEEP,VISUAL_PASS,24,KEEP,false,,,a15332be530c8a05bf32c94ea0a507c071de904664aeac005e677c83dd820366,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/035-FK-AS6B-6G25-B0H8259J9G-a15332be530c.jpg,"Uncrustables Peanut Butter & Blackberry Spread Frozen Sandwiches, 2 oz Each, 24 Count","Original-resolution visual review found the exact recipe presentation, a visually reconciled carton/wrapper count plan, the approved cooler/Salutem scene, exactly 2 inside + 2 outside gel packs, and no concrete forbidden mark or package-art defect."
36,FM-AS51-S4MT,B0H853VHRF,REPAIR,BLOCKING_DEFECT,24,KEEP,true,CARTON_COUNT_MATH_MISMATCH|MISSING_RECIPE_COMPONENT,,1272120c4f094b3eca0a21025973ad7e2238e470f8808e074573dc46f70a28a6,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/036-FM-AS51-S4MT-B0H853VHRF-1272120c4f09.jpg,"Uncrustables Frozen Sandwiches Variety Pack, Whole Wheat Peanut Butter & Strawberry Jam and Peanut Butter & Chocolate Flavored Spread, 24 Count",Visible retail-carton count/pack-size arithmetic does not exactly reconcile to every recipe quantity. At least one required recipe component is not visibly represented.
37,FN-ASVM-UWAG,B0H85J88LJ,KEEP,VISUAL_PASS,24,KEEP,false,,,4122fdcdc76688d6f884a4ea901f27bfd0728bc9eddf8fcb95d60895c73ed696,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/037-FN-ASVM-UWAG-B0H85J88LJ-4122fdcdc766.jpg,"Uncrustables Frozen Sandwich Variety Pack, 24 Count - Peanut Butter and Whole Wheat Peanut Butter & Grape Jelly","Original-resolution visual review found the exact recipe presentation, a visually reconciled carton/wrapper count plan, the approved cooler/Salutem scene, exactly 2 inside + 2 outside gel packs, and no concrete forbidden mark or package-art defect."
38,FR-AS6X-5KJY,B0H827V9DJ,REPAIR,BLOCKING_DEFECT,24,KEEP,true,MIXED_CARTON_PACK_COUNTS_SINGLE_FLAVOR,,025e677a6b5c69874bf43f640611b6201bfe019152a93cba5ac19f59fae7e895,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/038-FR-AS6X-5KJY-B0H827V9DJ-025e677a6b5c.jpg,"Uncrustables Chocolate Flavored Hazelnut Spread Frozen Sandwiches, Individually Wrapped, 24 Count",Single flavor is represented as 10 + 10 + 4 retail cartons instead of one reviewed count/design.
39,FV-AS47-EJZW,B0H82SZSYJ,KEEP,VISUAL_PASS,45,KEEP,false,,,8ef9bceded1c40a8e0c18c3d34700ea8d81c57bba896e7ba5c3befb2eedf73ff,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/039-FV-AS47-EJZW-B0H82SZSYJ-8ef9bceded1c.jpg,"Smucker's Uncrustables Whole Wheat Peanut Butter & Grape Jelly Sandwiches, Frozen, 45 Count","Original-resolution visual review found the exact recipe presentation, a visually reconciled carton/wrapper count plan, the approved cooler/Salutem scene, exactly 2 inside + 2 outside gel packs, and no concrete forbidden mark or package-art defect."
40,FX-AS2W-KHZT,B0H827J2XZ,REPAIR,BLOCKING_DEFECT,24,REGENERATE,false,WRONG_FLAVOR_VISIBLE|FICTIONAL_OR_ALTERED_PACKAGE_ART|WRONG_NUTRITION_OR_VARIANT_TEXT|GENERIC_OR_UNBRANDED_PACKAGE,,9783df8a5ce066aeb4e163c1cce37bf59eb4f397c1eda664acf69d5e26ba5297,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/040-FX-AS2W-KHZT-B0H827J2XZ-9783df8a5ce0.jpg,"Uncrustables Peanut Butter & Strawberry Jam Frozen Sandwiches, 12g Protein, 2.8 oz Each, 24 Count","At least one visible product/flavor is not the exact recipe product. Visible package art is fabricated, corrupted, or materially altered from reviewed genuine art. Visible package text/nutrition identifies the wrong product variant. Visible package is generic or lacks authentic readable Smucker's/Uncrustables identity."
