queue_rank,queue_stage,ordinal,sku,asin,readiness,reference_gate,catalog_identity_gate,effective_total_units,presentation_class,pack_mode,component_plan,reason_codes,blocker_codes,generation_authorized,amazon_write_authorized
53,2,79,PJ-ASAX-6LTG,B0H82T12L7,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,90,individual_wraps,individual-wrapper,90x bright-eyed-berry-protein as individual-wrapper (90 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
54,2,80,PJ-ASDX-E8LW,B0H85MGP35,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x peanut-butter-honey as individual-wrapper (12 visible packages) | 12x morning-protein-mixed-berry as individual-wrapper (12 visible packages),WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
55,2,82,PP-AS23-SPLQ,B0H84CDNQG,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x peanut-butter-raspberry as retail-carton (3 visible packages) | 12x reduced-sugar-strawberry-on-wheat as retail-carton (3 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
56,2,83,PR-AS79-8SDF,B0H82L74PL,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,30,individual_wraps,individual-wrapper,30x bright-eyed-berry-protein as individual-wrapper (30 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
57,2,84,PT-AS5B-Z2XH,B0H84Z6QWY,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x reduced-sugar-strawberry-on-wheat as retail-carton (3 visible packages) | 12x peanut-butter-grape as retail-carton (3 visible packages),FICTIONAL_OR_ALTERED_PACKAGE_ART|GENERIC_OR_UNBRANDED_PACKAGE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
58,2,86,PW-ASDZ-CSR8,B0H839TPC5,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,45,individual_wraps,individual-wrapper,45x up-and-apple-protein as individual-wrapper (45 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
59,2,89,QE-ASEQ-4YV5,B0H82CBLRM,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_single,retail-carton,24x peanut-butter-strawberry as retail-carton (6 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
60,2,90,QP-ASAD-PTLX,B0H85DG2JQ,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x reduced-sugar-strawberry-on-wheat as individual-wrapper (12 visible packages) | 12x up-and-apple-protein as individual-wrapper (12 visible packages),FICTIONAL_OR_ALTERED_PACKAGE_ART|GENERIC_OR_UNBRANDED_PACKAGE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
61,2,94,RB-ASVO-GYCY,B0H859N8VM,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x up-and-apple-protein as individual-wrapper (12 visible packages) | 12x peanut-butter-strawberry as individual-wrapper (12 visible packages),FICTIONAL_OR_ALTERED_PACKAGE_ART|GENERIC_OR_UNBRANDED_PACKAGE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
62,2,95,RH-ASWA-ER34,B0H85JR6WN,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x peanut-butter-honey as retail-carton (3 visible packages) | 12x chocolate-hazelnut as retail-carton (3 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
63,2,98,RN-ASLP-VH3X,B0H82JYZQH,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,30,individual_wraps,individual-wrapper,30x reduced-sugar-grape-on-wheat as individual-wrapper (30 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
64,2,99,RQ-AS0L-9B45,B0H85MQLHG,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x peanut-butter-honey as individual-wrapper (12 visible packages) | 12x up-and-apple-protein as individual-wrapper (12 visible packages),WRONG_NUTRITION_OR_VARIANT_TEXT|VISIBLE_UNIT_COUNT_NOT_RECONCILED,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
65,2,100,RQ-AS78-STLZ,B0H85GR968,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x peanut-butter as individual-wrapper (12 visible packages) | 12x morning-protein-mixed-berry as individual-wrapper (12 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER|VISIBLE_UNIT_COUNT_NOT_RECONCILED,AUTHENTICITY_REGISTRY_PRESENTATION_ART_MISSING,false,false
66,2,101,RQ-ASM7-T9NN,B0H83HNB3B,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,90,individual_wraps,individual-wrapper,90x reduced-sugar-grape-on-wheat as individual-wrapper (90 visible packages),VISIBLE_UNIT_COUNT_NOT_RECONCILED,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
67,2,102,RR-ASG1-JVKV,B0H8361PYX,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,45,individual_wraps,individual-wrapper,45x reduced-sugar-strawberry-on-wheat as individual-wrapper (45 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
68,2,103,RS-AS47-M3K3,B0H87748WJ,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x chocolate-hazelnut as retail-carton (3 visible packages) | 12x peanut-butter-grape as retail-carton (3 visible packages),NO_APPROVED_COOLER_SCENE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
69,2,104,RU-ASC3-4TUS,B0H83SJFR7,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x bright-eyed-berry-protein as individual-wrapper (12 visible packages) | 12x peanut-butter-honey as individual-wrapper (12 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
70,2,106,RY-ASO3-24Q2,B0H84XMG42,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x peanut-butter-honey as individual-wrapper (12 visible packages) | 12x morning-protein-mixed-berry as individual-wrapper (12 visible packages),VISIBLE_UNIT_COUNT_NOT_RECONCILED,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
71,2,108,SA-ASCK-J2B2,B0H82XP1MM,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,45,individual_wraps,individual-wrapper,45x up-and-apple-protein as individual-wrapper (45 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
72,2,109,SA-ASDW-SNEW,B0H82SMZ2M,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,45,individual_wraps,individual-wrapper,45x peanut-butter-mixed-berry-legacy as individual-wrapper (45 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
73,2,110,SC-ASH8-4RQG,B0H856DWVS,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x up-and-apple-protein as individual-wrapper (12 visible packages) | 12x burstin-blueberry-protein as individual-wrapper (12 visible packages),MISSING_RECIPE_COMPONENT|FICTIONAL_OR_ALTERED_PACKAGE_ART|GENERIC_OR_UNBRANDED_PACKAGE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
74,2,111,SG-AS32-LZ9Y,B0H8564C6D,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x peanut-butter-raspberry as retail-carton (3 visible packages) | 12x peanut-butter-chocolate-spread as retail-carton (3 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
75,2,112,SG-ASLB-M2DG,B0H84PFKYC,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x peanut-butter-raspberry as retail-carton (3 visible packages) | 12x peanut-butter-grape as retail-carton (3 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
76,2,113,SH-ASO0-PW37,B0H83ZH3TB,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x bright-eyed-berry-protein as individual-wrapper (12 visible packages) | 12x peanut-butter-grape as individual-wrapper (12 visible packages),WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT|FICTIONAL_OR_ALTERED_PACKAGE_ART|WRONG_NUTRITION_OR_VARIANT_TEXT,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
77,2,114,SS-AS9K-U9TV,B0H831889Q,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,45,individual_wraps,individual-wrapper,45x peanut-butter-chocolate-spread as individual-wrapper (45 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
78,2,115,SU-ASS4-RV6R,B0H853HGHC,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x up-and-apple-protein as individual-wrapper (12 visible packages) | 12x reduced-sugar-grape-on-wheat as individual-wrapper (12 visible packages),WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT|FICTIONAL_OR_ALTERED_PACKAGE_ART,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
79,2,116,SV-AS87-D6SV,B0H83ZGN22,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x bright-eyed-berry-protein as individual-wrapper (12 visible packages) | 12x peanut-butter-strawberry as individual-wrapper (12 visible packages),FICTIONAL_OR_ALTERED_PACKAGE_ART|WRONG_NUTRITION_OR_VARIANT_TEXT|GENERIC_OR_UNBRANDED_PACKAGE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
80,2,122,TQ-ASC4-P2NP,B0H839G6RQ,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,90,individual_wraps,individual-wrapper,90x peanut-butter-blackberry as individual-wrapper (90 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_PRESENTATION_ART_MISSING,false,false
81,2,124,UA-ASAO-RE7Q,B0H784LMG6,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,45,individual_wraps,individual-wrapper,45x peanut-butter-strawberry as individual-wrapper (45 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
82,2,131,VA-ASOK-QJCA,B0H85RZDX5,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x up-and-apple-protein as individual-wrapper (12 visible packages) | 12x morning-protein-mixed-berry as individual-wrapper (12 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
83,2,133,VC-ASV1-378P,B0H786L5MW,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,90,individual_wraps,individual-wrapper,90x peanut-butter-strawberry as individual-wrapper (90 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
84,2,134,VH-ASHZ-TJEE,B0H856VWD6,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x reduced-sugar-strawberry-on-wheat as individual-wrapper (12 visible packages) | 12x morning-protein-mixed-berry as individual-wrapper (12 visible packages),WRONG_FLAVOR_VISIBLE|FICTIONAL_OR_ALTERED_PACKAGE_ART|WRONG_NUTRITION_OR_VARIANT_TEXT,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
85,2,135,VK-ASSB-3YFK,B0H85FY28F,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x peanut-butter-honey as retail-carton (3 visible packages) | 12x reduced-sugar-grape-on-wheat as retail-carton (3 visible packages),FICTIONAL_OR_ALTERED_PACKAGE_ART|GENERIC_OR_UNBRANDED_PACKAGE|GEL_PACK_COUNT_OR_LAYOUT_FAIL|GEL_PACK_BRANDING_FAIL|SALUTEM_BRANDING_FAIL,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
86,2,138,VT-ASTH-B6LM,B0H85CL8JD,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x peanut-butter as individual-wrapper (12 visible packages) | 12x up-and-apple-protein as individual-wrapper (12 visible packages),WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT|FICTIONAL_OR_ALTERED_PACKAGE_ART,AUTHENTICITY_REGISTRY_FLAVOR_MISSING|AUTHENTICITY_REGISTRY_PRESENTATION_ART_MISSING,false,false
87,2,140,WK-AS2R-FJUW,B0H82XBNVN,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,90,individual_wraps,individual-wrapper,90x peanut-butter as individual-wrapper (90 visible packages),NO_APPROVED_COOLER_SCENE,AUTHENTICITY_REGISTRY_PRESENTATION_ART_MISSING,false,false
88,2,141,WK-AS7E-M3CE,B0H843R64X,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x bright-eyed-berry-protein as individual-wrapper (12 visible packages) | 12x morning-protein-mixed-berry as individual-wrapper (12 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
89,2,142,WK-ASPD-G9HL,B0H85CF81Y,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x reduced-sugar-strawberry-on-wheat as retail-carton (3 visible packages) | 12x peanut-butter as retail-carton (3 visible packages),WRONG_FLAVOR_VISIBLE|FICTIONAL_OR_ALTERED_PACKAGE_ART|WRONG_NUTRITION_OR_VARIANT_TEXT,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
90,2,144,WR-ASR5-AVWE,B0H859VYXH,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x up-and-apple-protein as individual-wrapper (12 visible packages) | 12x chocolate-hazelnut as individual-wrapper (12 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
91,2,145,WR-ASTH-TPXV,B0H85DRT93,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x up-and-apple-protein as individual-wrapper (12 visible packages) | 12x morning-protein-mixed-berry as individual-wrapper (12 visible packages),VISIBLE_UNIT_COUNT_NOT_RECONCILED,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
92,2,146,WZ-ASXK-ZFAS,B0H85DF1R7,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x peanut-butter-honey as individual-wrapper (12 visible packages) | 12x burstin-blueberry-protein as individual-wrapper (12 visible packages),FICTIONAL_OR_ALTERED_PACKAGE_ART|GENERIC_OR_UNBRANDED_PACKAGE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
93,2,148,XJ-ASVD-CDMW,B0H82MSTD9,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,45,individual_wraps,individual-wrapper,45x bright-eyed-berry-protein as individual-wrapper (45 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
94,2,151,YA-ASX6-PZE7,B0H82YB4PD,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,30,individual_wraps,individual-wrapper,30x peanut-butter-blackberry as individual-wrapper (30 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_PRESENTATION_ART_MISSING,false,false
95,2,154,YH-ASQ8-45ED,B0H82QPCJL,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,45,individual_wraps,individual-wrapper,45x peanut-butter as individual-wrapper (45 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_PRESENTATION_ART_MISSING,false,false
96,2,156,YV-AST8-LMKN,B0H859JMGJ,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x peanut-butter-honey as retail-carton (3 visible packages) | 12x peanut-butter-chocolate-spread as retail-carton (3 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
97,2,157,ZB-ASKL-9W8G,B0H82LKBYH,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,45,individual_wraps,individual-wrapper,45x peanut-butter-blackberry as individual-wrapper (45 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_PRESENTATION_ART_MISSING,false,false
98,2,159,ZE-AS5W-FKH3,B0H8531B8B,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x peanut-butter as individual-wrapper (12 visible packages) | 12x morning-protein-mixed-berry as individual-wrapper (12 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_PRESENTATION_ART_MISSING,false,false
99,2,160,ZH-AS8W-G5MN,B0H82LMD9Z,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,30,individual_wraps,individual-wrapper,30x peanut-butter-grape as individual-wrapper (30 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
100,2,161,ZP-ASJD-X7ZD,B0H85N7X8W,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x reduced-sugar-strawberry-on-wheat as individual-wrapper (12 visible packages) | 12x morning-protein-mixed-berry as individual-wrapper (12 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
101,2,162,ZX-AS2C-GT8Q,B0H82L3LRT,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,30,individual_wraps,individual-wrapper,30x reduced-sugar-strawberry-on-wheat as individual-wrapper (30 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
102,2,163,ZX-ASQU-TKU9,B0H84PVG1G,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x reduced-sugar-strawberry-on-wheat as retail-carton (3 visible packages) | 12x peanut-butter-strawberry as retail-carton (3 visible packages),CARTON_COUNT_MATH_MISMATCH|FICTIONAL_OR_ALTERED_PACKAGE_ART|GENERIC_OR_UNBRANDED_PACKAGE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
103,3,123,TY-AST2-JE9P,B0H84WQRXB,BLOCKED_CATALOG_IDENTITY,BLOCK,BLOCK,24,individual_wraps,individual-wrapper,12x peanut-butter-raspberry as individual-wrapper (12 visible packages) | 12x morning-protein-mixed-berry as individual-wrapper (12 visible packages),WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT,AUTHENTICITY_REGISTRY_FLAVOR_MISSING|CATALOG_IDENTITY_BLOCK,false,false
104,3,136,VN-AS1A-D572,B0H82PKK18,BLOCKED_CATALOG_IDENTITY,BLOCK,BLOCK,45,individual_wraps,individual-wrapper,45x peanut-butter-strawberry as individual-wrapper (45 visible packages),NO_APPROVED_COOLER_SCENE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING|CATALOG_IDENTITY_BLOCK,false,false
