ordinal,sku,asin,disposition,recipe_keys,expected_total_units,current_other_slots,current_additional_after_card,approved_card_slots,hard_violation_codes,hold_reason_codes,relaxed_exceptions_applied,explicit_wrong_product_or_claim,source_row_evidence_sha256,row_evidence_sha256
109,SA-ASDW-SNEW,B0H82SMZ2M,KEEP,PB_MIXED_BERRY,45,7,6,1,,,,false,1ce6f8b4feda67f90aba5a424e27f8ba9c2b73a3f92f6af186aeac9a59689c89,087d89944380488aa868b281b1acbccbacc466922a2b1dd1997e08c8bc58ee3e
110,SC-ASH8-4RQG,B0H856DWVS,KEEP,PB_APPLE_CINNAMON_PROTEIN|PB_BLUEBERRY_PROTEIN,24,7,6,1,,,,false,edd4806710278a888987f555b16e0c7bfc680c5d57fb201564dc237bb3db4ebe,52a92f3123d2b70304c5a7f5356d3c5606bb141973cf64eaf39ab78a6208dce1
111,SG-AS32-LZ9Y,B0H8564C6D,KEEP,PB_RASPBERRY|PB_CHOCOLATE_FLAVORED_SPREAD,24,7,6,1,,,,false,386bf5b26308f8c0584f2479195b9dd229457243b3a625eda68fb97bf2954bb0,1b1b0a60736e10dfa1d8b704158656be74f7191ec3574089b5f86b66e36b9bb6
112,SG-ASLB-M2DG,B0H84PFKYC,KEEP,PB_RASPBERRY|PB_GRAPE,24,7,6,1,,,,false,85c765926b816f180dd3a225bcc158612279eb9b08f1dcaf513bed6df101efeb,2e9af909bc6774c38251025d1ee02715457cdd88824b20b5abf76b2ebb23a3a6
113,SH-ASO0-PW37,B0H83ZH3TB,KEEP,PB_STRAWBERRY_PROTEIN|PB_GRAPE,24,7,6,1,,,,false,963dcec84b2ce40c10c748d9fa71146bfc930912a32e2e5f3936b131ae87940f,6192ec800a0eadb388a0d08234f52bcb0572226dcee5de46e4119c27a49fccbe
114,SS-AS9K-U9TV,B0H831889Q,KEEP,PB_CHOCOLATE_FLAVORED_SPREAD,45,7,6,1,,,,false,81150eaf6f9087f4c99124fb91bcd7d4788e3e9f219d833a60a7dce13c9feaaa,1207357210495cc9b69234a7c4259685de5075fdffbc84b73a452080cbe5708e
115,SU-ASS4-RV6R,B0H853HGHC,KEEP,PB_APPLE_CINNAMON_PROTEIN|WHOLE_WHEAT_PB_GRAPE,24,7,6,1,,,,false,1978299aacb4fcaca32be0c7a5af942b6e6255088fbfbe7e205b9768e3478f3d,6bbb0023a9e3423abbf96ae1f9a97bcf0a77812cf257340bc13099207068baaf
116,SV-AS87-D6SV,B0H83ZGN22,KEEP,PB_STRAWBERRY_PROTEIN|PB_STRAWBERRY,24,7,6,1,,,,false,a4253c5fb2eb9ce79591ae7aa299c73c79b78aacb3eaf2ab0f48f4c49cf3bd44,110f21add29daf386312742ed45126a89b0d3c9d07ef21fdc9161a8e7d98a324
117,SZ-ASPI-JFAT,B0H776M5B5,FIX,PB_BLACKBERRY,24,1,0,1,ADDITIONAL_IMAGE_COUNT_OUTSIDE_4_TO_6,,,false,42bfd13d7efe471c6b9a6e3205366d1ac01ec4df1438162f26880228135fab94,82b6e45e6f8369f04d1c1b9393e638aeaa64ec317766f08084ee70868f2a76b3
118,TH-AS6D-CCES,B0H845HSDZ,KEEP,PB_RASPBERRY|CHOCOLATE_HAZELNUT,24,7,6,1,,,,false,c135cc057eef3cbef57ed0728095ee93a41d94a6a52db0d78b83d2047c2ae99b,e40f9ebf99a226276c334818f9f51cf0cca2f7aa46bd7f34a100fa668cc8bdee
119,TL-ASHN-ZRKG,B0H85P9F3R,KEEP,CHOCOLATE_HAZELNUT|PB_MIXED_BERRY_MORNING_PROTEIN,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,81fbebee9946490e0b8a174e63f827c2bf8a79255fb0d31677d678a17f0ce3f6,bbf75afb07bc345f9afb2003c8c36eda72711bd335383177cfdca593eabf9fa2
120,TP-AS91-8PAZ,B0H835T5HN,KEEP,PB_MIXED_BERRY,30,7,6,1,,,,false,8a251eaafda0c6b81cbce9b9e86e3698d23b77c741f80168a25f50d11ac0ca75,b978edfddc6e2d746f7ca062ef9425726dcd895d4907d8e68882e698c2767b31
121,TQ-ASBR-96TC,B0H82BCZ44,KEEP,PB_BLUEBERRY_PROTEIN,24,7,6,1,,,,false,3f74a381ed60975caad5980ce08557a86b09ba197a5b300b8d7bbef93a3c1c7a,e63b5f5c28406a80d74dc1b10377944d3ccaf888803b41ca74fa708cd7f31d46
122,TQ-ASC4-P2NP,B0H839G6RQ,KEEP,PB_BLACKBERRY,90,7,6,1,,,,false,67d8970b971f98926f7a8bf031af22909b4237c5f166464fc0a6cc7919b0ece0,5434f72a8be0ce9b873ec95b092caa87e30ce24bcae8f82ca46a96015a502862
123,TY-AST2-JE9P,B0H84WQRXB,KEEP,PB_RASPBERRY|PB_MIXED_BERRY_MORNING_PROTEIN,24,7,6,1,,,,false,6c9a73c7de1cd4a95787e1806e8b518b70f0cf89bae5491155f8d5d642edc3c8,0d4151658f7314f42a1e209cbe6f000077f6f9d3e9752aa649b55a13bf8aa6bd
124,UA-ASAO-RE7Q,B0H784LMG6,FIX,PB_STRAWBERRY,45,7,6,7,APPROVED_CARD_NOT_EXACT_SLOT_1,,,false,0c6d3a7e5b9a548f7f5ed7af89874f393100dd2e9a3beaf5b9f2a127e2732011,d872e9bf4db65e65bc25cb5e0855152250a8b69a2a339e9647366b1c21a758dc
125,UD-AS9J-QNY6,B0H834L7P6,KEEP,PB_HONEY,90,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,539cb00af385dd9adc02d4efa9d642615e50fadf828c13b94ea81b41f98d8405,3a0d230cb0594390daa56b23c85af74192ea8c4b1460e0e674d593fa58f6c4c3
126,UE-ASA6-CLLY,B0H83ZHZ4S,KEEP,PB_RASPBERRY|PB_BLACKBERRY,24,7,6,1,,,,false,dfb30069f4c2c2dbc3d937fae05447e0f61aca817d2e91ceb938bb62ae3398f9,e34685dad7dd7841206c1c49a78fdec74b1d382fcf193db749370d3ed141a6a0
127,UF-ASA1-GN5P,B0H854DM3X,KEEP,PB_PLAIN|PB_STRAWBERRY,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,68164feb1de7c1bc4a9717fd57925d0852a56af7468dcbf0b8e0b7fe8be5bd64,abc518f9bdc4ed88fb840281e1c2d2882b362f5b26fe453c0755974176b56465
128,UG-ASUO-L4D9,B0H83FP8WW,KEEP,PB_STRAWBERRY,90,7,6,1,,,,false,fadbb10259d7172c556fa1d59a50e233cb2e11daffe953c8a38d4ca89c9c5d7b,2e43d24ddc73bb46d37048db8f33c100bcad09d974431ee36bb3e9c7a7b0d5ff
129,UJ-ASQ1-9FNR,B0H82P651P,KEEP,PB_MIXED_BERRY_MORNING_PROTEIN,24,5,4,1,,,KEEP_OWNER_RELAXED_RETAILER_CONTEXT,false,d08fc33667db0759d4b09a0d5415a0910284ded4aa1800e1651ca431cec81bd8,a850a2575cfa5e535c037a52c8734649e47081bb95ba281256971265305b34dd
130,UY-AS5N-A2E4,B0H83R4M3R,KEEP,PB_STRAWBERRY_PROTEIN,120,7,6,1,,,,false,d4412ab40c576c13fb96e3f347cec13e8dd566736ed496bfb903159e24e08ec0,989bfedab0ec9ad0ddf544917bfacb993befb0aa2dcefd97ab5e562f14f485e0
131,VA-ASOK-QJCA,B0H85RZDX5,KEEP,PB_APPLE_CINNAMON_PROTEIN|PB_MIXED_BERRY_MORNING_PROTEIN,24,7,6,1,,,,false,58eff7613eaaffae99ba98371fd7fc102fabc85a0aab5e87dc3d10ef7ce4a80e,b8ddfa786e4d57190018d995b482781b758015df60afb660902998d83623b203
132,VC-ASQE-L5Z5,B0H82QYM85,KEEP,CHOCOLATE_HAZELNUT,45,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,c8bd09a126bf928f854e4c925129763754c40a3792a2db9cbf1d997b7bd80282,ca428b5d542343af0f6019e8945bec8fd4aba39e5eb4b6cd6534203ce88d4e1c
133,VC-ASV1-378P,B0H786L5MW,FIX,PB_STRAWBERRY,90,7,6,7,APPROVED_CARD_NOT_EXACT_SLOT_1,,,false,872e87ba4067930432a977242e41d75c71cafd0b5df33b6187ddb3802ee16038,8f522a54ac5ee694f37eb470755a4eb92c6b5e94edb7519b147ebecbdce26c6a
134,VH-ASHZ-TJEE,B0H856VWD6,KEEP,WHOLE_WHEAT_PB_STRAWBERRY|PB_MIXED_BERRY_MORNING_PROTEIN,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,0e44481bc139f0952ee51c6193b700a367946484f4f495bdf7ba9098767de126,8d47210771711313d96fb17b712dc146240176ae04e322ce83b5ebce2da15a27
135,VK-ASSB-3YFK,B0H85FY28F,KEEP,PB_HONEY|WHOLE_WHEAT_PB_GRAPE,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,df905e30f59c6e11a2e8ac29a12153bdb50ef8a65f7bcb2230a5889e9f838538,e2e64e525766afd4bda9634657380d5b0dc86d88bbe37f890c8e10289d6903e3
136,VN-AS1A-D572,B0H82PKK18,KEEP,PB_STRAWBERRY,45,7,6,1,,,,false,d5b4e1a7f16a212e3d00a4b12e33dca2a6587b99bbdabdd7e8e40bd22b9f0b71,81b2a37e4c02ece0914d9f0b9ebb75cb63ac6d25dafd00a5faa36b6e5ea54490
137,VN-AS6Q-5AE9,B0H8538L32,KEEP,PB_PLAIN|CHOCOLATE_HAZELNUT,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,ab563c032ea2356a55dd22b031a0fd6f112f9e93dfa5c30ad8818c4b0d9251fa,db29f9f428fa9ddef9322b002e69d50a7e30c8dfb4685f0fd8e2afd4d679b4c7
138,VT-ASTH-B6LM,B0H85CL8JD,KEEP,PB_PLAIN|PB_APPLE_CINNAMON_PROTEIN,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,2f3973db53dd530e7e47a50ae3a38d8cc3fd99053041e5c834b999ad96d9456c,2b9f78f709479e68d1698a004ca022500e93d71b46fe48d33d2144a40c8e8332
139,WC-ASH5-EFN6,B0H833W54L,KEEP,PB_APPLE_CINNAMON_PROTEIN,30,7,6,1,,,,false,c8da77f14cc761dd0a1d722052d0b342be9b5bb75d9191c53ee99a849bdca425,d051d1be97417947177b554f922552c29f40417d0352f52d73354cb9738c2ad3
140,WK-AS2R-FJUW,B0H82XBNVN,KEEP,PB_PLAIN,90,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,3b4e5e16149de30d06482eebf848c376e6a71d91c4fe5c7a3b49a6ba33a033a1,d9d3f3ebf5082ff39ee2200fbaa5dd0d002eb663e2d44f40d2319f67a3ab7bd9
141,WK-AS7E-M3CE,B0H843R64X,KEEP,PB_STRAWBERRY_PROTEIN|PB_MIXED_BERRY_MORNING_PROTEIN,24,7,6,1,,,,false,eed25cbfd54ede0550c31077e759f1ac6f4e332b61e403f76a9ec1d12de5bbba,a1e472d04b03b7b4f0ef67a36f38f196184cef7b053ec6ed924640c0efb73917
142,WK-ASPD-G9HL,B0H85CF81Y,KEEP,WHOLE_WHEAT_PB_STRAWBERRY|PB_PLAIN,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,87e170a66fa717dd5eb27bd8f16ed2ee37a31fd48f84e2e80e8235e4ebaceeef,54d413d730e8de4f0fe07bdda93adedc3f84086e0185b4627e91592d507d1899
143,WN-AS33-UFEA,B0H83RCTVV,KEEP,PB_HONEY,120,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,fd1dff0d37ac1dc9cf55422ec8b7ba6f2039f717ba6a22b012d46db0adb2fb6b,c0c8f9085f1985708484d36a2be2f64448d9718c21b9bc7e7429c76265c8897d
144,WR-ASR5-AVWE,B0H859VYXH,KEEP,PB_APPLE_CINNAMON_PROTEIN|CHOCOLATE_HAZELNUT,24,7,6,1,,,,false,b594b77d3139260746a278f20d05c547be53fbf5850763ec549a8e107faff6ab,177c61dfbcf15a5158c533a9a1823b149558caa6f0e29a4c15198e324f2a1f4f
145,WR-ASTH-TPXV,B0H85DRT93,KEEP,PB_APPLE_CINNAMON_PROTEIN|PB_MIXED_BERRY_MORNING_PROTEIN,24,7,6,1,,,,false,9c1d6d9887ad1da52454f4777e858fdc70c12974d34bdaf029d87bf166cfb2a4,a12c19ff19b2641baef376c2a5212d659bf85af714d5b0ca7e9db4830d957039
146,WZ-ASXK-ZFAS,B0H85DF1R7,KEEP,PB_HONEY|PB_BLUEBERRY_PROTEIN,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,4cf9ff56197858b55335c525e2b348d3348e2d5c69a9366d62d3ff94052beb9b,0be539c05b76d72b20c6d9528a755573bd89a095e9257a6c31db42d51b75c117
147,XE-ASK1-BNRB,B0H81WMJBP,KEEP,PB_RASPBERRY,45,7,6,1,,,,false,62ee279195c8f2ad93b9ede3b0e453e40bbf224484ac0af6c1f912af5ee603d4,75ab481c31521ee2c02e8a3edb59d0d070c4552ced549885b5e86fe875d4535a
148,XJ-ASVD-CDMW,B0H82MSTD9,KEEP,PB_STRAWBERRY_PROTEIN,45,7,6,1,,,,false,2f8d34efaaccad28da0fb18ee1b1277866310ac705ce94fcb6b56ab81698ab1b,bba8ff300aa9072a0d781cb31a3e81d0774999cee05c62d4ea5b00f87e16c398
149,XV-ASEU-GDUX,B0H82YRTS3,KEEP,PB_MIXED_BERRY_MORNING_PROTEIN,45,5,4,1,,,KEEP_OWNER_RELAXED_RETAILER_CONTEXT,false,2f72ff9ca50b1910554cc1df7d0969e62f86d3052ca8fb1048fc65b0b1f6a00e,488930c81dd44a6c0095df179d1c830666b52423c1c08fee5fb8ae538c486b02
150,XW-ASSI-SZZT,B0H858GF4N,KEEP,PB_HONEY|PB_PLAIN,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,3e0b465eca1343c2cd7630efa8cb77a8ecdf08747f5ee11edd3532e24c17ee0c,8dda55baaf9399f44b9b03455ca7bc5a4d489caced795c0bb402e4543df8d511
151,YA-ASX6-PZE7,B0H82YB4PD,KEEP,PB_BLACKBERRY,30,7,6,1,,,,false,76ef756d5c33489baf12184bd97116a1503e02d2b6c2f1faba9337819d8ff5b1,fd625d897ec9d602216404fde2c5eb7336a33d23b38b1a4d48f4572259f3578a
152,YF-ASZJ-8BBH,B0H822MPKC,KEEP,PB_HONEY,30,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,51a78c26c96c3fcc67313f07a713124467c5452a8924a905fbe627ce8fd1a917,3419a84a8275653db1d65c512aed82f076236b792043afabded72b148cdc2a18
153,YG-ASH6-BCXX,B0H8511Y5G,KEEP,PB_PLAIN|PB_BLACKBERRY,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,b156536720a1361f55340e8ab70c396b81c24857674dbbe5144dc42177ca1fc3,77480eae38dfdcd5dc38c85fcbd1d42cdfb0677d5b68803518f5321ab897732a
154,YH-ASQ8-45ED,B0H82QPCJL,KEEP,PB_PLAIN,45,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,e8c91ab2608c038507325450eaf10af616e6fb1f7dfe2b5546b494cd8efaae34,d80d68e3aa7c6f2ed0a144525f445d4a3297b8317ca74884559181ece9b1ba98
155,YM-AS7P-ZX44,B0H83S1LDG,KEEP,PB_BLACKBERRY,120,7,6,1,,,,false,ee375b5eb8669f6fc89bbbc574c8721ae11ef99e93670d7c4f2ed5237c691fcd,5dc9c48f2032e49e5e2beb5d5139f0bef2e77adf1170be1719b199e6443b0fd8
156,YV-AST8-LMKN,B0H859JMGJ,KEEP,PB_HONEY|PB_CHOCOLATE_FLAVORED_SPREAD,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,d2d1b194c705d812d8cb2f60a36be1a2306dc7f4891c2ff493ba16d9d264e9ea,c1092d07eb69144fddbd01a89519a3206878bb14a284900584a406a196a590bb
157,ZB-ASKL-9W8G,B0H82LKBYH,KEEP,PB_BLACKBERRY,45,7,6,1,,,,false,94327fcd61ea109c54dfbec29cb129da24eaefaa955a128ec8a9674dfa34260d,88fc32d916f4bc109741c0179895812398000e31ef522820caa5c48e57f94ea8
158,ZC-ASDC-3QMV,B0H83TSB5J,KEEP,PB_STRAWBERRY,120,7,6,1,,,,false,22729c27a8bf37ed2aa9337033750a7a6a5b563b77849b5381923aafaafcdbca,0defb094b4337fa1a477b4c5ff926f6f3f2e93f2d73a410d0fd4b6a1fff8fce3
159,ZE-AS5W-FKH3,B0H8531B8B,KEEP,PB_PLAIN|PB_MIXED_BERRY_MORNING_PROTEIN,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,ce59dce445508016ce5dcd32b2397f6ee0add5e7e42465a7b8bc584dfe48fd7c,05fe3b0a7cfdcee28340097ec86cb21a342d613f916f5c4eb4b423244885e3c9
160,ZH-AS8W-G5MN,B0H82LMD9Z,KEEP,PB_GRAPE,30,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,8c2ce67b75dd45bf9f7ddf778feae07f38e99ed7227d0c9cb855ef629a510afa,7b0dc02ba2083578ec91177f941ccf3ea9c180dfb288e338f6ad7546c8b47020
161,ZP-ASJD-X7ZD,B0H85N7X8W,KEEP,WHOLE_WHEAT_PB_STRAWBERRY|PB_MIXED_BERRY_MORNING_PROTEIN,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,33b8b83c2c8b2eeb3224d0e80fa9fbd5bd80c9e7d135b2bff44e464cff517b8a,c66efea3a6d0563d3be43c61900cf357329ac7ea00864780dae6134be4069740
162,ZX-AS2C-GT8Q,B0H82L3LRT,KEEP,WHOLE_WHEAT_PB_STRAWBERRY,30,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,aa0f26d8ba87a6f7723d5c8e0409ad71e3bb54c5ed69a44d1d486ad9dc2fc5a4,b8eb900781caa07e09f9dbd06b50ed1181b094e092f46e1bc6e8ac847c176df3
163,ZX-ASQU-TKU9,B0H84PVG1G,KEEP,WHOLE_WHEAT_PB_STRAWBERRY|PB_STRAWBERRY,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,1fe71a1967a289a388d1788b85ddea81511f1562b4006183169d545a387fb05e,24811e2a8551e5cd92ac41969db7bfa85b6e6a5d74c200e75aefbb543b67d265
164,ZY-ASZ4-QM5U,B0H83T9QZV,KEEP,PB_APPLE_CINNAMON_PROTEIN,120,7,6,1,,,,false,415211a98bcf5968d688e41460c2a884c64474a31963afa2b81d4dde58bf5ba0,3a5ba652d389edb5c236fa0284f2286b35045ddf85a0f68c099cfcdbe2a33d95
