ordinal,sku,asin,tier_count,target_regular,target_minimum,target_maximum,amazon_regular_current,amazon_minimum_current,amazon_maximum_current,amazon_offer_state,amazon_offer_current,amazon_expected_current_semantics,offer_classification,regular_action,minimum_action,maximum_action,promo_assignment,promo_arm,promo_discount_percent,promo_live_sale_value,promo_target_effective,promo_live_start_at,promo_live_end_at,promo_target_start_at,promo_target_end_at,promo_action,channelmax_status,channelmax_model_id,channelmax_model_name,channelmax_price_current,channelmax_minimum_current,channelmax_maximum_current,planned_price_wave,execution_status,failure_codes,blocker_codes
54,JL-ASUC-JUZE,B0H831MXGD,45,130.99,114.27,130.99,114.59,114.27,130.99,OFFER,114.27,114.27,MATCHES_ACTIVE_SALE_NOT_REGULAR_DRIFT,SET_TO_TARGET,KEEP,KEEP,SALEPRICE_12,B,12,114.27,115.27,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,REVISE_VALUE_AND_WINDOW_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,114.27,114.59,139.15,WAVE_3_REGULAR_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_VALUE_DIFFERS_FROM_V4_PROPOSAL|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
55,JS-AS5F-QB8T,B0H822TJ7C,30,85.99,74.75,85.99,93.13,74.75,85.99,NO_OFFER,,74.81,NO_OFFER,SET_TO_TARGET,KEEP,KEEP,SALEPRICE_13,B,13,74.81,74.81,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,0,93.13,113.09,WAVE_3_REGULAR_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
56,JT-ASKD-KS8T,B0H83Z6S3Q,120,297.99,258.57,297.99,297.99,258.57,297.99,OFFER,297.99,297.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,259.25,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,297.99,281.91,342.31,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
57,JU-ASM0-KV4Z,B0H8462L4S,24,76.99,66.95,76.99,76.99,66.95,76.99,OFFER,76.99,76.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,66.98,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,76.99,64.38,78.18,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
58,JU-ASYC-SSJD,B0H854C7SZ,24,76.99,66.95,76.99,76.99,66.95,76.99,OFFER,76.99,76.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,66.98,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,76.99,64.14,77.88,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
59,JY-ASPW-LB4K,B0H84621N6,24,76.99,66.95,76.99,71.14,67.81,78.53,NO_OFFER,,66.98,NO_OFFER,SET_TO_TARGET,SET_TO_TARGET,SET_TO_TARGET,SALEPRICE_13,B,13,66.98,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,0,71.14,86.38,WAVE_2_GUARDRAILS_AND_OVERLAPPING_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH|AMAZON_MIN_GUARD_MISMATCH|AMAZON_MAX_GUARD_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
60,KD-AS12-8HZ3,B0H845JBM6,24,76.99,66.95,76.99,52.29,44.29,76.99,OFFER,52.29,76.99,MISMATCH_CURRENT_SEMANTICS,SET_TO_TARGET,SET_TO_TARGET,KEEP,COUPON_13,A,13,,66.98,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,52.29,46.64,56.63,WAVE_1_EFFECTIVE_CUSTOMER_PRICE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH|AMAZON_MIN_GUARD_MISMATCH|AMAZON_EFFECTIVE_CONSUMER_MISMATCH_CURRENT_SEMANTICS,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
61,KN-ASYZ-ST4M,B0H83XBXHX,24,76.99,66.95,76.99,77.52,66.95,76.99,NO_OFFER,,76.99,NO_OFFER,SET_TO_TARGET,KEEP,KEEP,COUPON_13,A,13,,66.98,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,0,71.14,86.38,WAVE_3_REGULAR_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
62,KP-ASYC-RN84,B0H83FYZR3,90,252.99,219.57,252.99,285.02,219.57,252.99,NO_OFFER,,220.1,NO_OFFER,SET_TO_TARGET,KEEP,KEEP,SALEPRICE_13,B,13,220.1,220.1,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,0,285.02,346.1,WAVE_3_REGULAR_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
63,LH-ASP7-KZR4,B0H82XNFRW,90,252.99,219.57,252.99,252.99,219.57,252.99,OFFER,252.99,252.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,220.1,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,252.99,221.27,268.69,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
64,LJ-ASYO-FWJK,B0H853SHVC,24,76.99,66.95,76.99,76.99,66.95,76.99,OFFER,76.99,76.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,66.98,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,76.99,64.38,78.18,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
65,LK-AS7X-K43B,B0H84CGGXL,24,76.99,66.95,76.99,76.99,66.95,76.99,OFFER,76.99,76.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,66.98,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,76.99,64.38,78.18,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
66,LP-AS9J-HSVB,B0H82B7KK1,24,76.99,66.95,76.99,76.99,66.95,76.99,OFFER,76.99,76.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,66.98,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,76.99,64.64,78.48,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
67,LU-ASK0-LSDF,B0H84YZDB7,24,76.99,66.95,76.99,76.99,66.95,76.99,OFFER,66.98,66.98,MATCHES_ACTIVE_SALE_NOT_REGULAR_DRIFT,KEEP,KEEP,KEEP,SALEPRICE_13,B,13,66.98,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,66.98,64.89,78.79,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
68,ME-AS1I-SEX2,B0H83RVHNF,90,252.99,219.57,252.99,252.99,219.57,252.99,OFFER,252.99,252.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,220.1,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,252.99,223.14,270.96,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
69,MF-AS0J-YRT4,B0H82NHQCL,24,76.99,66.95,76.99,76.99,66.95,76.99,OFFER,76.99,76.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,66.98,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,76.99,64.14,77.88,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
70,MP-ASYO-QNU2,B0H84Z9KWL,24,76.99,66.95,76.99,76.99,66.95,76.99,OFFER,66.98,66.98,MATCHES_ACTIVE_SALE_NOT_REGULAR_DRIFT,KEEP,KEEP,KEEP,SALEPRICE_13,B,13,66.98,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,66.98,64.38,78.18,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
71,MP-ASZ9-TKE7,B0H837HLKC,30,85.99,74.75,85.99,93.13,74.75,85.99,NO_OFFER,,74.81,NO_OFFER,SET_TO_TARGET,KEEP,KEEP,SALEPRICE_13,B,13,74.81,74.81,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,0,93.13,113.09,WAVE_3_REGULAR_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
72,NC-ASPL-EXE8,B0H83QRV43,24,76.99,66.95,76.99,70.88,67.57,78.25,NO_OFFER,,66.98,NO_OFFER,SET_TO_TARGET,SET_TO_TARGET,SET_TO_TARGET,SALEPRICE_13,B,13,66.98,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,0,70.88,86.08,WAVE_2_GUARDRAILS_AND_OVERLAPPING_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH|AMAZON_MIN_GUARD_MISMATCH|AMAZON_MAX_GUARD_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
73,NJ-ASAC-PTK2,B0H82X48CD,24,76.99,66.95,76.99,76.99,66.95,76.99,OFFER,76.99,76.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,66.98,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,76.99,64.14,77.88,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
74,NM-ASEW-S2SK,B0H86TVN3C,24,76.99,66.95,76.99,77.64,66.95,96.99,OFFER,66.98,66.98,MATCHES_ACTIVE_SALE_NOT_REGULAR_DRIFT,SET_TO_TARGET,KEEP,SET_TO_TARGET,SALEPRICE_13,B,13,66.98,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,66.98,77.64,94.27,WAVE_2_GUARDRAILS_AND_OVERLAPPING_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH|AMAZON_MAX_GUARD_MISMATCH,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
75,NS-ASSD-B3JJ,B0H82L945T,24,76.99,66.95,76.99,76.99,66.95,76.99,OFFER,66.98,66.98,MATCHES_ACTIVE_SALE_NOT_REGULAR_DRIFT,KEEP,KEEP,KEEP,SALEPRICE_13,B,13,66.98,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,66.98,65.13,79.09,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
76,NT-ASIL-V5LK,B0H84547PM,24,76.99,66.95,76.99,77.52,67.81,78.53,OFFER,77.52,76.99,MISMATCH_CURRENT_SEMANTICS,SET_TO_TARGET,SET_TO_TARGET,SET_TO_TARGET,COUPON_13,A,13,,66.98,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,77.52,71.14,86.38,WAVE_1_EFFECTIVE_CUSTOMER_PRICE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH|AMAZON_MIN_GUARD_MISMATCH|AMAZON_MAX_GUARD_MISMATCH|AMAZON_EFFECTIVE_CONSUMER_MISMATCH_CURRENT_SEMANTICS,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
77,NV-AS86-HD44,B0H85KQJKS,24,76.99,66.95,76.99,76.99,66.95,76.99,OFFER,76.99,76.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,66.98,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,76.99,64.38,78.18,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
78,PB-ASAF-G2T6,B0H82K7Y7S,24,76.99,66.95,76.99,76.99,66.95,76.99,OFFER,76.99,76.99,MATCHES_REGULAR_AND_CURRENT_SEMANTICS,KEEP,KEEP,KEEP,COUPON_13,A,13,,66.98,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,76.99,65.64,79.69,NO_BASE_OR_GUARD_CHANGE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,,CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
79,PJ-ASAX-6LTG,B0H82T12L7,90,252.99,219.57,252.99,271.91,219.57,252.99,NO_OFFER,,252.99,NO_OFFER,SET_TO_TARGET,KEEP,KEEP,COUPON_13,A,13,,220.1,,,,,VERIFY_OR_CREATE_ONLY_AFTER_V4_OWNER_APPROVAL,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,0,271.91,330.16,WAVE_3_REGULAR_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_COUPON_APPLICATION_EVIDENCE_MISSING
80,PJ-ASDX-E8LW,B0H85MGP35,24,76.99,66.95,76.99,48.73,66.95,76.99,NO_OFFER,,66.98,NO_OFFER,SET_TO_TARGET,KEEP,KEEP,SALEPRICE_13,B,13,66.98,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,2026-07-20T00:00:00.000Z,2026-08-19T23:59:59.000Z,KEEP_LIVE_VALUE_WINDOW_CHANGE_ONLY_IF_V4_APPROVED,LIVE_DEFAULT_MODEL_OVERWRITE_RISK,,Default,0,40.13,48.73,WAVE_3_REGULAR_BASE,BLOCKED_UNTIL_CHANNELMAX_DEFAULT_CONTROL_PROVEN,AMAZON_REGULAR_ATTRIBUTE_MISMATCH,AMAZON_CONSUMER_OFFER_UNAVAILABLE|CHANNELMAX_DEFAULT_MODEL_OVERWRITE_RISK|PROMO_V4_NOT_OWNER_APPROVED|LIVE_SALEPRICE_WINDOW_DIFFERS_FROM_V4_PROPOSAL
