ASIN list,Discount type,Coupon discount % Off value,Coupon title,Coupon budget,Coupon start date,Coupon end date,Limit redemption to one per customer,Targeted Segment
B0H85PJ516,% off,13,Save 13% – Uncrustables Blackberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85RZDX5,% off,13,Save 13% – Uncrustables Sandwiches 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H856RRRK,% off,13,Save 13% – Uncrustables Chocolate Flavored 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H845JBM6,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H86PRTWS,% off,13,Save 13% – Uncrustables Blueberry Variety Pack 24c,100,2026-07-14,2026-08-13,Yes,All customers
B0H86Z59DW,% off,13,Save 13% – Uncrustables Honey 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H86TVN3C,% off,13,Save 13% – Uncrustables Mixed Berry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H891WSZ9,% off,13,Save 13% – Uncrustables Strawberry 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H843Q9B5,% off,13,Save 13% – Uncrustables Raspberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82LKBYH,% off,13,Save 13% – Uncrustables Blackberry 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H835T5HN,% off,13,Save 13% – Uncrustables Mixed Berry 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82L945T,% off,13,Save 13% – Uncrustables Mixed Berry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82S7TFG,% off,13,Save 13% – Uncrustables Grape 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82B7GV5,% off,13,Save 13% – Uncrustables and Grape 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82CBLRM,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82YMT6K,% off,13,Save 13% – Uncrustables Blueberry 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82SMZ2M,% off,13,Save 13% – Uncrustables Mixed Berry 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85V287S,% off,13,Save 13% – Uncrustables Apple Cinnamon 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H853HGHC,% off,13,Save 13% – Uncrustables Apple Cinnamon 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85DRT93,% off,13,Save 13% – Uncrustables Apple Cinnamon 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85J88LJ,% off,13,Save 13% – Uncrustables Grape 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85GR968,% off,13,Save 13% – Uncrustables Mixed Berry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H853VHRF,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84Z6QWY,% off,13,Save 13% – Uncrustables Jelly 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H857K38C,% off,13,Save 13% – Uncrustables Sandwiches 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H854C7SZ,% off,13,Save 13% – Uncrustables Sandwiches 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84PVG1G,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85N7X8W,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85JF1V1,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H853SHVC,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85DG2JQ,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H859JMGJ,% off,13,Save 13% – Uncrustables Chocolate Flavored 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85FY28F,% off,13,Save 13% – Uncrustables Sandwich Variety Pack 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84XMG42,% off,13,Save 13% – Uncrustables Mixed Berry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H8564C6D,% off,13,Save 13% – Uncrustables Raspberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H8462L4S,% off,13,Save 13% – Uncrustables Raspberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84G7DHC,% off,13,Save 13% – Uncrustables Sandwiches Variety Pack 24,100,2026-07-14,2026-08-13,Yes,All customers
B0H84CDNQG,% off,13,Save 13% – Uncrustables Sandwich Variety Pack 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84547PM,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H842HL49,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H843R64X,% off,13,Save 13% – Uncrustables Sandwich Variety Pack 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83QRV43,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83RR2XQ,% off,13,Save 13% – Uncrustables Mixed Berry 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H837HLKC,% off,13,Save 13% – Uncrustables Mixed Berry 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82YRTS3,% off,13,Save 13% – Uncrustables Mixed Berry 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82LZLM2,% off,13,Save 13% – Uncrustables Mixed Berry 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82P651P,% off,13,Save 13% – Uncrustables Mixed Berry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H87748WJ,% off,13,Save 13% – Uncrustables Grape 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85KQJKS,% off,13,Save 13% – Uncrustables Grape 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H8628LW3,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85P9F3R,% off,13,Save 13% – Uncrustables Mixed Berry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85MXFH8,% off,13,Save 13% – Uncrustables Sandwich Variety Pack 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H856DWVS,% off,13,Save 13% – Uncrustables Apple Cinnamon 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H859N8VM,% off,13,Save 13% – Uncrustables Sandwich Variety Pack 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84ZL156,% off,13,Save 13% – Uncrustables Apple Cinnamon 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H859VYXH,% off,13,Save 13% – Uncrustables Apple Cinnamon 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H8531B8B,% off,13,Save 13% – Uncrustables Mixed Berry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84YZDB7,% off,13,Save 13% – Uncrustables Grape 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H854DM3X,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H8511Y5G,% off,13,Save 13% – Uncrustables Peanut Butter Blackberry 2,100,2026-07-14,2026-08-13,Yes,All customers
B0H8538L32,% off,13,Save 13% – Uncrustables and Chocolate Flavored Haz,100,2026-07-14,2026-08-13,Yes,All customers
B0H85CL8JD,% off,13,Save 13% – Uncrustables Peanut Butter Apple Cinnam,100,2026-07-14,2026-08-13,Yes,All customers
B0H856VWD6,% off,13,Save 13% – Uncrustables Sandwich Variety 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85CF81Y,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85MGP35,% off,13,Save 13% – Uncrustables Honey 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84Z9KWL,% off,13,Save 13% – Uncrustables Sandwich Variety Pack 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85DF1R7,% off,13,Save 13% – Uncrustables Honey 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85B64V2,% off,13,Save 13% – Uncrustables Sandwiches Variety Pack 24,100,2026-07-14,2026-08-13,Yes,All customers
B0H853MCYZ,% off,13,Save 13% – Uncrustables Blackberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85JR6WN,% off,13,Save 13% – Uncrustables Honey 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85MQLHG,% off,13,Save 13% – Uncrustables Apple Cinnamon 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H858GF4N,% off,13,Save 13% – Uncrustables Honey 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84WQRXB,% off,13,Save 13% – Uncrustables Raspberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84PFKYC,% off,13,Save 13% – Uncrustables Sandwich Variety Pack 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84JH1WN,% off,13,Save 13% – Uncrustables Raspberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84CGGXL,% off,13,Save 13% – Uncrustables Sandwich Variety Pack 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83ZHZ4S,% off,13,Save 13% – Uncrustables Raspberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H845HSDZ,% off,13,Save 13% – Uncrustables Raspberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84621N6,% off,13,Save 13% – Uncrustables Variety 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H8493HNR,% off,13,Save 13% – Uncrustables Raspberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83ZH3TB,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84651LM,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83ZGN22,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83ZRNCS,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83XB855,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83XV9WX,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83Y8JH7,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83SJFR7,% off,13,Save 13% – Uncrustables Sandwich Variety 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H8422DQ1,% off,13,Save 13% – Uncrustables Chocolate Flavored 120ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83Z6S3Q,% off,13,Save 13% – Uncrustables Grape 120ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83NM5PX,% off,13,Save 13% – Uncrustables Blueberry 120ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83TQPJB,% off,13,Save 13% – Uncrustables Grape 120ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83TSB5J,% off,13,Save 13% – Uncrustables Strawberry 120ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83JJW1F,% off,13,Save 13% – Uncrustables Mixed Berry 120ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83S1LDG,% off,13,Save 13% – Uncrustables Blackberry 120ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83H71F8,% off,13,Save 13% – Uncrustables Variety 120ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83T9QZV,% off,13,Save 13% – Uncrustables Apple Cinnamon 120ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83MDDBL,% off,13,Save 13% – Uncrustables Sandwich 120ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83MWTM7,% off,13,Save 13% – Uncrustables Strawberry 120ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83RCTVV,% off,13,Save 13% – Uncrustables Honey 120ct,100,2026-07-14,2026-08-13,Yes,All customers